Marca temporal	"Parte 1:
1. Género"	2. Edad: 	3. Año actual cursando en la carrera de Ingeniería en Sistemas:	4. ¿Trabaja o ha trabajado en un área relacionada con la ingeniería en sistemas?																																																																																														5.En qué área de ingeniería en sistemas trabaja actualmente.	6. Cuánto tiempo ha trabajado en esta área	 La organización en la que ha trabajado o está trabajando es:	Cuál es su rango salarial actual	De continuar en su área cuánto espera ser su próximo rango salarial.	Planea continuar especializándose en su área.	 Los rangos salariales de esta otra especialidad son un motivador para cambiar de área de especialización	En qué otras área planea especializarse.	¿Ha seleccionado ya su especialidad dentro de la Ingeniería en Sistemas?	Ha seleccionado su especialidad, indique cual es	Amigos	Familiares	Relaciones Sociales	Entorno Laboral	Compañeros de la carrera	Maestros	Alguna persona en internet	Situación financiera actual	Expectativa de una mejor situación financiera	Salarios del área de especialización	Costos de los estudios en esa área de especialización	¿Qué factores influyeron o cree que seran determinantes en su decisión? Marque todas las opciones que apliquen	Considera que las oportunidades laborales son un factor determinante al momento de elegir su especialidad	Considera que las expectativas salariales son un factor determinante en su decisión de especialidad
8/15/2023 10:23:05	Hombre	Mayor de 25 años	Quinto año	Sí																																																																																														Analista de datos	6 meses  a 1 año	Privada	L25,000-L35,000	L45,000-L60,000	Sí	Si	Administración de bases de datos, Ciberseguridad, Redes	No		1	1	4	5	2	3	2	3	5	5	3	Oportunidades laborales, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
8/15/2023 10:25:48	Hombre	22-25 años	Quinto año	Sí																																																																																														Redes	6 meses  a 1 año	Pública	L15,000-L25,000	L25,000-L35,000	Sí	No	Administración de bases de datos, Analista de datos, Ciberseguridad	Si	Redes	1	1	1	4	1	1	1	3	3	3	2	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal	Si	Si
8/15/2023 11:03:57	Mujer	Mayor de 25 años	Quinto año	Sí																																																																																														Auditor de Sistemas 	6 meses  a 1 año	Privada	L15,000-L25,000	L30,000-L45,000	Sí	No	Analista de datos, Ciberseguridad	Si	Ciberseguridad	1	1	3	4	1	1	4	4	5	4	4	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
8/15/2023 11:12:24	Mujer	22-25 años	Cuarto año	No																																																																																																						Si	Ciberseguridad	4	3	4	4	4	3	2	4	5	5	3	Oportunidades laborales, Gusto o interés personal, Aptitudes y habilidades específicas	No	No
8/15/2023 11:15:56	Hombre	22-25 años	Quinto año	Sí																																																																																														Administración de bases de datos	1 año a 3 años	Privada	L15,000-L25,000	L25,000-L35,000	Sí	Si	Desarrollo Front-end	Si	Analista de datos	4	4	4	4	4	3	4	4	4	4	3	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal	No	Si
8/15/2023 11:54:37	Hombre	Mayor de 25 años	Quinto año	Sí																																																																																														Infraestructura	6 meses  a 1 año	Pública	L15,000-L25,000	L30,000-L45,000	Sí	Si	Redes, Infraestructura, Ciberseguridad	Si	Infraestructura	1	1	5	5	5	5	1	3	5	5	5	Oportunidades laborales	Si	Si
8/15/2023 16:25:11	Mujer	20-22 años	Quinto año	No																																																																																																						No		2	4	3	5	1	3	3	5	5	5	3	Oportunidades laborales, Perspectivas futuras en el campo, Aptitudes y habilidades específicas	Si	Si
8/15/2023 17:36:54	Hombre	22-25 años	Cuarto año	No																																																																																																						Si	Analista de datos	2	1	2	4	2	1	3	2	3	2	2	Perspectivas futuras en el campo, Gusto o interés personal	Si	No
8/15/2023 19:29:21	Hombre	20-22 años	Tercer año	Sí																																																																																														Desarrollo Backend	Menos de 6 meses	Privada	Menos  L15,000	L25,000-L35,000	Sí	Si	Desarrollo móvil, Infraestructura, Desarrollo Backend, Desarrollo Front-end	Si	Infraestructura	4	2	4	5	4	2	4	4	4	4	4	Oportunidades laborales, Perspectivas futuras en el campo	Si	Si
8/16/2023 7:25:28	Mujer	Mayor de 25 años	Cuarto año	No																																																																																																						No		3	5	3	2	4	4	2	4	3	3	4	Oportunidades laborales, Aptitudes y habilidades específicas, Recomendaciones de profesores o mentores	Si	Si
8/16/2023 9:27:37	Hombre	Mayor de 25 años	Cuarto año	Sí																																																																																														Desarrollo Backend	1 año a 3 años	Privada	L25,000-L35,000	L30,000-L45,000	Sí	No	Ciberseguridad, Desarrollo Backend, Analista de datos, Administración de bases de datos	No		1	1	1	1	1	1	1	2	3	3	1	Perspectivas futuras en el campo, Gusto o interés personal, Aptitudes y habilidades específicas	No	No
8/16/2023 23:03:11	Hombre	Mayor de 25 años	Quinto año	Sí																																																																																														Infraestructura	4 años o más.	Privada	Menos  L15,000	L25,000-L35,000	No	Si		No		3	2	4	5	4	5	4	5	5	4	2	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal	Si	Si
8/17/2023 7:07:11	Mujer	22-25 años	Quinto año	No																																																																																																						No		3	3	2	2	2	2	2	2	2	2	2	Oportunidades laborales, Gusto o interés personal, Aptitudes y habilidades específicas	Si	No
8/17/2023 13:16:05	Hombre	20-22 años	Quinto año	No																																																																																																						Si	Infraestructura	3	3	3	4	4	4	1	1	5	5	3	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
8/17/2023 15:40:27	Hombre	20-22 años	Quinto año	No																																																																																																						Si	Desarrollo Backend	2	1	1	3	3	4	3	2	4	4	3	Oportunidades laborales, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
8/17/2023 19:43:21	Hombre	22-25 años	Quinto año	Sí																																																																																														Desarrollo Backend	1 año a 3 años	Privada	L15,000-L25,000	L45,000-L60,000	Sí	Si	Quality Assurance, Infraestructura, Analista de datos	No		3	3	3	3	3	3	3	3	3	3	3	Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
8/17/2023 19:58:43	Hombre	20-22 años	Quinto año	Sí																																																																																														Ciberseguridad	Menos de 6 meses	Privada	Menos  L15,000	L25,000-L35,000	Sí	Si	Project Management, Infraestructura, Desarrollo Backend, Desarrollo Front-end, Redes, Desarrollador de juegos	No		1	1	1	3	1	3	1	1	5	5	5	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
